train_loss,epoch,step,val_loss_step,avg_val_loss
70554.328125,0,49,,
1260.5306396484375,0,99,,
367.5820007324219,0,149,,
35.808624267578125,0,199,,
,0,199,20.9069766998291,20.9069766998291
22.025096893310547,1,249,,
14.66653060913086,1,299,,
33.06476974487305,1,349,,
14.033153533935547,1,399,,
,1,399,6.362018585205078,6.362017631530762
41.12030029296875,2,449,,
7.621901988983154,2,499,,
14.243897438049316,2,549,,
18.678728103637695,2,599,,
,2,599,6.96170711517334,6.96170711517334
19.087749481201172,3,649,,
12.727286338806152,3,699,,
3.203941822052002,3,749,,
0.634087085723877,3,799,,
,3,799,7.244596481323242,7.2445969581604
10.464129447937012,4,849,,
9.036528587341309,4,899,,
10.042320251464844,4,949,,
17.151926040649414,4,999,,
,4,999,7.095098972320557,7.095098972320557
8.853536605834961,5,1049,,
3.173711061477661,5,1099,,
5.596287727355957,5,1149,,
7.723628044128418,5,1199,,
,5,1199,6.447926044464111,6.447927474975586
2.1302032470703125,6,1249,,
12.286256790161133,6,1299,,
5.250988483428955,6,1349,,
12.89491081237793,6,1399,,
,6,1399,6.084354400634766,6.084354400634766
1.7097222805023193,7,1449,,
7.261212348937988,7,1499,,
9.051937103271484,7,1549,,
20.249052047729492,7,1599,,
,7,1599,6.635576248168945,6.6355767250061035
13.322210311889648,8,1649,,
26.093650817871094,8,1699,,
12.389103889465332,8,1749,,
8.512775421142578,8,1799,,
,8,1799,6.96426248550415,6.964262008666992
17.83803367614746,9,1849,,
16.045989990234375,9,1899,,
7.1285719871521,9,1949,,
2.7718605995178223,9,1999,,
,9,1999,6.472437858581543,6.472436428070068
