train_loss,epoch,step,val_loss_step,avg_val_loss
13642.2802734375,0,49,,
1522.1873779296875,0,99,,
175.38934326171875,0,149,,
110.69430541992188,0,199,,
,0,199,55.00227355957031,55.00226593017578
29.423168182373047,1,249,,
68.90514373779297,1,299,,
13.806586265563965,1,349,,
6.858425140380859,1,399,,
,1,399,9.089736938476562,9.089737892150879
22.07781219482422,2,449,,
21.179645538330078,2,499,,
15.328649520874023,2,549,,
61.20796203613281,2,599,,
,2,599,9.623198509216309,9.623198509216309
6.752755165100098,3,649,,
10.449931144714355,3,699,,
5.091235160827637,3,749,,
21.571590423583984,3,799,,
,3,799,7.4026923179626465,7.402691841125488
6.022259712219238,4,849,,
21.429548263549805,4,899,,
9.2721529006958,4,949,,
3.438551187515259,4,999,,
,4,999,6.112160682678223,6.112161636352539
4.229715824127197,5,1049,,
13.549535751342773,5,1099,,
3.583503246307373,5,1149,,
7.701842308044434,5,1199,,
,5,1199,6.302270412445068,6.302270889282227
9.038942337036133,6,1249,,
4.3662519454956055,6,1299,,
10.969913482666016,6,1349,,
6.547252655029297,6,1399,,
,6,1399,6.219831943511963,6.2198333740234375
14.912049293518066,7,1449,,
20.675785064697266,7,1499,,
12.622041702270508,7,1549,,
4.980672836303711,7,1599,,
,7,1599,7.926701068878174,7.926701068878174
7.3695783615112305,8,1649,,
8.948863983154297,8,1699,,
15.015902519226074,8,1749,,
19.148115158081055,8,1799,,
,8,1799,6.675943374633789,6.675943374633789
2.3881773948669434,9,1849,,
5.770359039306641,9,1899,,
6.6202898025512695,9,1949,,
10.229037284851074,9,1999,,
