train_loss,epoch,step,avg_val_loss
27864.599609375,0,49,
1444.96337890625,0,99,
326.1588134765625,0,149,
,0,174,26.015954971313477
52.89384460449219,1,199,
82.09208679199219,1,249,
19.575607299804688,1,299,
40.125816345214844,1,349,
,1,349,7.658514499664307
4.241593837738037,2,399,
7.418859004974365,2,449,
5.241931915283203,2,499,
,2,524,6.791492938995361
9.805290222167969,3,549,
13.399250984191895,3,599,
1.5041344165802002,3,649,
9.751907348632812,3,699,
,3,699,7.624598503112793
11.541020393371582,4,749,
8.752279281616211,4,799,
7.8089189529418945,4,849,
,4,874,7.035053730010986
7.737803936004639,5,899,
15.459192276000977,5,949,
12.895418167114258,5,999,
15.123737335205078,5,1049,
,5,1049,16750.03515625
6.343264102935791,6,1099,
10.290506362915039,6,1149,
7.260995388031006,6,1199,
,6,1224,8.652482986450195
5.925611972808838,7,1249,
10.541448593139648,7,1299,
5.347391128540039,7,1349,
0.7430894374847412,7,1399,
,7,1399,6.773527145385742
23.060789108276367,8,1449,
2.266238212585449,8,1499,
19.86541748046875,8,1549,
,8,1574,7.354190826416016
13.930068969726562,9,1599,
12.013628005981445,9,1649,
17.16627311706543,9,1699,
6.567507743835449,9,1749,
,9,1749,7.796945095062256
