train_loss,epoch,step,avg_val_loss
76495.0546875,0,49,
1320.5086669921875,0,99,
273.5787353515625,0,149,
,0,174,25.494421005249023
90.99767303466797,1,199,
39.01517105102539,1,249,
26.33755111694336,1,299,
2.883228063583374,1,349,
,1,349,11.204534530639648
8.208019256591797,2,399,
3.8581995964050293,2,449,
18.43070411682129,2,499,
,2,524,6.8792548179626465
20.64988136291504,3,549,
6.888383388519287,3,599,
22.91127586364746,3,649,
34.15397262573242,3,699,
,3,699,7.540372848510742
8.862062454223633,4,749,
13.170323371887207,4,799,
3.2000956535339355,4,849,
,4,874,7.380769729614258
5.462686538696289,5,899,
6.052831649780273,5,949,
19.745420455932617,5,999,
23.236095428466797,5,1049,
,5,1049,8.206055641174316
2.667541027069092,6,1099,
5.366346836090088,6,1149,
21.275423049926758,6,1199,
,6,1224,7.776515960693359
6.630693435668945,7,1249,
13.069405555725098,7,1299,
12.598518371582031,7,1349,
15.731437683105469,7,1399,
,7,1399,8.009567260742188
12.868001937866211,8,1449,
27.615468978881836,8,1499,
19.331777572631836,8,1549,
,8,1574,7.931875228881836
15.568593978881836,9,1599,
2.805800437927246,9,1649,
5.655139923095703,9,1699,
27.04186248779297,9,1749,
,9,1749,7.3965935707092285
